comp_cd,sap_cd,batch_wt,uom,spg
316/1S,8213161190,220.00,KG,1.11
316/3,8213163000,211.01,KG,1.12
316/4,8213164000,230.01,KG,1.13
316/9,8213169000,204.01,KG,1.14
318/4S,8213184190,237.01,KG,1.15
318/5S,8213185190,185.00,KG,1.16
320/18,8213201800,184.70,KG,1.17
320/C,8213200300,196.01,KG,1.18
321/1D,8213211040,195.00,KG,1.19
323/2,8213232000,194.00,KG,1.20
324/1,8213241000,199.01,KG,1.21
324/2,8213242000,192.01,KG,1.22
325/2,8213252000,219.01,KG,1.23
325/3,8213253000,214.01,KG,1.24
325/4,8213254000,214.01,KG,1.25
325/5,8213255000,198.01,KG,1.26
327/1,8213271000,199.00,KG,1.27
329/1,8213291000,212.00,KG,1.28
330/1S,8213301190,200.00,KG,1.29
